2022-09-09 15:16:22,065 Notification Collector INFO: [In run.py at line 19] | LOGGER INITIALISED
2022-09-09 15:16:22,077 Notification Collector INFO: [In run.py at line 23] | Successfully validated configurations and initialized notifications.
2022-09-09 15:17:22,121 Notification Collector INFO: [In jobs.py at line 20] | Notifications filter process started.
2022-09-09 15:17:22,123 Notification Collector DEBUG: [In general.py at line 21] | Inside function - apply_filter
2022-09-09 15:17:22,124 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,125 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,125 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,126 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,126 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,127 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,127 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,128 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,128 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,128 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,128 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,130 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,130 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,131 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,131 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,131 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,132 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,132 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,132 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,132 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,133 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,133 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,133 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,133 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,134 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,134 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,134 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,135 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,135 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,135 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,135 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,136 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,136 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,136 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,137 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,137 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,137 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,137 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,138 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,138 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,138 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,139 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,139 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,139 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,139 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,140 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,140 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,140 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,140 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
2022-09-09 15:17:22,141 Notification Collector INFO: [In api.py at line 83] | {'event_notifications': []}
